molecula|molecula|Veber filter|Approximated area|MATS8d|GeomDiameter|SIC2|GeomShapeIndex|PPSA1|SRW09|E solv. Water  (Hartree)|MATS2c|PBF|JGI4|SaaaC|FNSA4|AATSC1are|Log Po/w WLOGP|GRAVp|pIC50
12f_a36|12f_a36|0.0|545.55|-0.1188384119999999|13.84366076|0.8700396090000001|0.8665086190000001|144.9540437|7.412764017000001|0.02879265|-0.066269699|0.3416917479999999|0.039061728|0.0|-0.035813075|0.003676818|2.45|2770.818472|7.9586
12w_a36|12w_a36|0.0|552.55|-0.016393443|15.701847400000002|0.8792981679999999|0.8769828040000001|211.5476713|7.412764017000001|0.0328886|0.081390556|0.532980165|0.041555556|0.0|-0.041210062|-0.011700732|4.04|3230.870697|7.6383
14c_a23|14c_a23|0.0|549.86|-0.077808321|14.49533577|0.857184548|0.8505592829999999|143.9373772|7.423568444|0.02236136|0.06596946|0.2273163289999999|0.043538647|0.743546646|-0.034046252|0.010682694|4.67|2955.304496|8.6253
18_a3|18_a3|0.0|330.54|-0.051083228|10.24658906|0.784960175|0.935646099|141.2679329|6.605297921|0.02173162|-0.256375952|0.217881538|0.034712644|1.742872103|-0.031753312|0.0057881999999999|3.08|1938.093995|7.5229
19h_a38|19h_a38|0.0|452.01|-0.121374121|12.98143834|0.8741648479999999|0.903301693|145.047677|7.412764017000001|0.03396934|-0.088176988|0.3263113569999999|0.042622739|0.0|-0.03959525|-0.002526241|2.55|2774.611523|8.0348
8b_a50|8b_a50|0.0|353.17|-0.031953774|9.26652151|0.8836675340000001|0.75095166|157.2609748|7.860570786|0.036701907|-0.115740384|0.267094693|0.035718954|1.98971238|-0.030360051|0.006841944|3.41|2143.807599|7.1675
33_a47|33_a47|0.0|423.52|0.1186944519999999|12.94292541|0.8913954909999999|0.854471925|226.5011607|6.823286122000001|0.02924367|-0.229935275|0.404334141|0.034691358|1.688794654|-0.0272154529999999|0.002212256|4.04|2311.28828|8.4
6b_a31|6b_a31|0.0|492.36|-0.084489161|14.46878435|0.841537966|0.925676135|155.0167518|7.773594467000001|0.03623358|0.052690797|0.146652651|0.037803618|0.0|-0.045675611|-0.011483229|4.0|2776.92804|7.2676
7l_a46|7l_a46|0.0|414.82|0.076724694|9.825660656|0.825629852|0.863142947|156.9538706|7.727094485|0.025086919|-0.2644255789999999|0.253138137|0.04006734|0.0|-0.022013621|0.013150047|3.59|1920.310099|5.7122
9n_a24|9n_a24|0.0|587.05|-0.058520736|14.52410167|0.804201677|0.764164944|235.1021924|6.605297921|0.03188309|-0.2452954769999999|0.331008994|0.024179894|0.0|-0.026905672|0.008307337|4.14|2542.730334|7.7212
