molecula|n6aHRing|MATS1c|Contribution (HOMO-LUMO transition)|HOMO-LUMO Energy Difference (Hartree)|RNCS|MATS8i|FNSA2|Area (grid)|pIC50
1h_a5|2|-0.20140246|0.57155|-0.17797|160.0744187|-0.1197834419999999|-1.111947978|556.57|7.5528
16_a3|2|-0.614173961|0.6944100000000001|-0.13195|248.6415425|-0.013328983|-1.401937796|520.28|7.3768
22_a4|1|-0.3877007|0.65771|-0.16754|162.9809584|-0.2078428719999999|-1.349339509|519.39|7.3279
13k_a6|1|-0.5627624379999999|0.70536|-0.14589|183.1261118|0.0809333929999999|-2.543562101|731.25|7.3372
14a_a5|2|-0.36152442|0.65789|-0.1676|134.62273080000003|-0.086229994|-1.494946644|692.8|6.9508
47k_a18|0|-0.451417954|0.69823|-0.1277599999999999|20.66242736|-0.02822032|-2.208671853|842.29|7.5376
19k_a38|1|-0.51857087|0.70327|-0.14568|157.4834779|0.016990252|-2.411793744|677.64|7.9666
3c_a12|1|-0.545592465|0.68067|-0.14572|73.9854678|-0.008931246|-1.291260406|544.65|7699.0
1_a1 (SKF-104365)|1|-0.505981356|0.70081|-0.16142|6.658828587|-0.10236005|-0.9743074|491.18|5.7959
9_a47|2|-0.4477815529999999|0.69084|-0.1545099999999999|107.3271659|0.022031244|-1.550867715|566.1|7.6
12d_a30|1|-0.4562256979999999|0.68608|-0.1479099999999999|85.1932288|0.036688757|-1.884794029|695.57|7.9508
10_a15|2|-0.391156537|0.70313|-0.15377|6.497096666|-0.077096984|-1.928396745|631.2|8.1549
2_a1|1|-0.422863867|0.7007899999999999|-0.1686|6.281701359|-0.0619710709999999|-0.927245426|489.42|5.2366
7g_a8|0|-0.418049442|0.62073|-0.15508|144.290464|-0.027838247|-2.020168201|620.67|4.6772
4_a38 (LY-2157299)|2|-0.463575124|0.68|-0.16|260.7739337|-0.159241692|-1.520583011|617.61|7.1586
16e_a32|0|-0.698621582|0.7022|-0.14991|105.4021155|-0.070351839|-1.760072163|677.82|8.1367
47n_a18|0|-0.529441732|0.6914600000000001|-0.13138|61.29571241|-0.003276575|-2.4620167580000003|879.92|7.1938
33_a20|2|-0.1771816269999999|0.6129|-0.15959|8.680600701|-0.061975089|-1.326927921|689.51|7.4685
8a_a32|0|-0.591393096|0.70316|-0.1445|73.64907732|-0.020716518|-1.641192863|667.29|7.3468
21_a47|2|-0.5406500129999999|0.68296|-0.16158|34.75044485|-0.004063946|-1.5239986980000002|583.37|8.3
12v_a36|1|-0.401336708|0.7016100000000001|-0.15185|113.7463918|-0.086194201|-1.788408258|671.56|7.8539
6a_a40|0|-0.620787469|0.6782699999999999|-0.11995|185.06174|0.104332675|-2.113444291|649.48|7.3979
19c_a38|1|-0.434836855|0.6279899999999999|-0.15612|139.1570837|-0.0725602509999999|-1.949429829|652.09|8.0348
12y_a30|1|-0.4579359229999999|0.6864399999999999|-0.1475|85.17057711|0.061944378|-1.91621895|728.75|7.6576
19h_a38|1|-0.420225236|0.69012|-0.1467099999999999|136.81322659999998|-0.043452674|-1.979762478|626.65|8.0348
32_a47|2|-0.2749014|0.68986|-0.1509599999999999|28.55112477|-0.026022099|-1.381205148|692.49|7.0
12b_a36 (EW-7197)|1|-0.442656599|0.69991|-0.15571|81.63796416|-0.098032695|-1.956014468|659.48|8.1549
14z_a23|2|-0.46459002|0.69913|-0.15195|40.18308023|-0.0438568409999999|-1.595099623|715.41|8.2941
19_a20|3|-0.5838248970000001|0.6987399999999999|-0.13903|339.8339889|0.077469518|-1.993700989|687.79|5585.0
12bb_a36|1|-0.421445726|688.0|-0.15507|88.91215764|-0.018516159|-1.943622342|667.88|8.0
13m_a6|2|-0.568024162|0.64753|-0.13817|91.22689385|0.054340057|-2.045251|726.28|8.0
EW7203_a60|1|-0.458129101|0.69857|-0.1446599999999999|80.48638339|0.03824498|-1.828300603|678.83|8.0334
17a_a22|2|-0.3626566539999999|0.71303|-0.06214|286.3611391|-0.094996254|-1.758088991|731.19|7.0862
7_a4|2|-0.174410426|0.59702|-0.16975|14.01468959|-0.125778587|-1.06932642|538.92|6821.0
3k_a32|0|-0.5265375529999999|0.70268|-0.14667|80.0971996|-0.0902541999999999|-1.271758703|611.65|8.0605
3q_a32|0|-0.5448044360000001|0.70216|-0.15001|41.73511731|-0.022925245|-1.371465184|666.16|7.5528
13p_a6|2|-0.573014008|0.7056600000000001|-0.12251|80.30786544|-0.014153926|-2.14743793|752.82|7.0362
4f_a49|2|-0.46436755|0.68474|-0.15517|193.615884|-0.064058097|-1.439288231|575.01|7.3979
12d_a40|0|-0.552689736|0.70435|-0.11604|207.39648|0.087954209|-1.282824111|552.57|7.7212
14ae_a23|2|-0.363230717|0.58144|-0.14537|111.4422142|-0.0174992419999999|-1.480271319|751.57|8.6038
14a_a3|3|-0.582572884|0.69708|-0.1321|256.5548327|-0.039177314|-1.324537874|528.91|7.5229
16b_a23|2|-0.401493392|0.95419|-0.13741|7.971529518|-0.068280331|-1.821661419|772.84|7.0191
11g_a5|2|-0.267507083|0.63081|-0.1714|68.77977167|-0.137618073|-1.297557078|693.48|7.5229
12k_a30|1|-0.4186541|0.6864899999999999|-0.14743|106.8195439|0.067265077|-1.865577056|710.82|7.6144
9d_a31|0|-0.550392027|0.7006899999999999|-0.15969|154.8767865|-0.0938310919999999|-1.793772606|727.27|6.2218
7e_a8|0|-0.341022848|0.70177|-0.13577|86.03149870000001|-0.11032771|-1.6850904519999998|622.23|4.4547
8f_a12|1|-0.560548116|0.65098|-0.15061|83.13642146|0.028505422|-1.6818542230000002|606.97|6.1898
11b_a50|1|-0.266743077|0.64477|-0.16684|7.949039772000001|-0.218953127|-1.047617742|560.06|5.7696
12ab_a30|1|-0.384942092|0.68324|-0.14772|119.79740259999998|0.038312857|-1.815983471|753.75|7.7825
7f_a8|0|-0.381574707|0.6987399999999999|-0.14506|53.09327646|-0.087673259|-1.670259798|584.99|4.4479
5a_a50|1|-0.161169418|0.6725399999999999|-0.16659|6.819160781|-0.256097122|-0.978147545|582.98|5.3872
12q_a30|1|-0.636798458|0.68516|-0.14792|82.72757145|0.004165554|-2.427381881|713.16|7.4449
25_a12|2|-0.4288076329999999|0.69029|-0.14303|37.96125329|-0.025245046|-1.362509125|560.14|7.6576
3a_a32|0|-0.491457345|0.70229|-0.15058|87.55216606|0.102212031|-0.970820756|492.91|8.5686
14a_a23|2|-0.446724057|0.6289100000000001|-0.15002|38.57988954|-0.0518554529999999|-1.606503401|665.5|8.5498
11e_a5|2|-0.234433859|0.6505|-0.16751|62.84782002|-0.16669151|-1.580379517|717.76|7.3979
8a_a8|1|-0.5028388229999999|0.7036899999999999|-0.13015|170.9592896|0.010118884|-2.256502762|620.68|4.9454
18_a34|1|-0.493450778|0.60488|-0.17549|66.6880793|-0.141332289|-1.816988713|592.04|5.6144
18_a31|0|-0.604728055|0.70058|-0.16212|238.9516432|-0.001973566|-1.81257508|630.26|6.8861
17a_a25|2|-0.362222339|0.6722|-0.16304|93.75234138|-0.0688716509999999|-1.666953566|747.06|7.6021
4b_a46|2|-0.16915334|0.68682|-0.19082|7.986637869|-0.135121207|-1.123779397|588.79|6.2612
