molecula|n9FaHRing|Wavelength (max. Transition) (nm)|Approximated area|SaaNH|Oscillator Force (HOMO-LUMO transition)|Highest Occupied Molecular Orbital Energy|SaasN|pIC50|n5aHRing|AATSC1i|MATS8s|GATS1pe|FNSA3|FPSA3|FNSA1|PNSA4|GeomPetitjeanIndex|GeomRadius|CYP2D6 inhibitor|Num. of Aromatic heavy atoms|Log S (ESOL)|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
19e_a38|0|236.96|532.67|3.376977671|0.3738|-0.20723|0.0|8.0083|1|-0.191751024|0.04818471|0.700181525|-0.083623427|0.02118651|0.749190974|-25.49088538|0.4655978389999999|6.596408983|0.0|17.0|-4.72|2.25e-05|4.08|-1409.582478|8.0083
12w_a30|0|244.87|577.06|0.0|0.1614|-0.20755|0.0|7821.0|1|-0.0857954809999999|-0.032835151|0.711738503|-0.076611264|0.015446225|0.8077976990000001|-25.53389062|0.451478593|8.063690539|0.0|17.0|-6.04|7.39e-06|5.08|-2494.966575|7821.0
12i_a36|0|237.08|504.47|3.27619957|0.1516|-0.20475|0.0|7.9208|1|-0.3344729369999999|0.141564781|0.624142499|-0.0850745409999999|0.01973953|0.7691298590000001|-29.42347522|0.460246812|7.549683919|0.0|17.0|-5.07|3.37e-05|4.86|-1645.2030949999998|7.9208
8a_a12|0|317.17|424.14|0.0|0.2486|-0.2194199999999999|0.0|6.7011|0|-0.226106307|-0.1261547959999999|0.862306783|-0.05926895|0.010336879|0.791430726|-17.52581709|0.46777503|5.113243051|1.0|18.0|-4.21|4.2e-06|3.41|-1046.0428949999998|6.7011
4f_a49|0|268.08|411.94|0.0|0.0579999999999999|-0.22471|2.066693174|7.3979|1|-0.025995042|-0.00953448|0.670594896|-0.102926696|0.016591015|0.718306291|-18.1726086|0.437355335|6.302023735|1.0|21.0|-4.09|0.000104|4.07|-1179.23587|7.3979
12a_a30|0|245.76|507.17|0.0|0.1511|-0.19994|0.0|7.9469|1|-0.094526372|-0.031179517|0.7961424690000001|-0.07699057|0.016292604|0.805190202|-23.35372432|0.469799116|7.362386058999999|0.0|17.0|-4.85|9.21e-05|3.82|-1575.7783980000002|7.9469
12e_a31|0|232.77|640.03|3.483599061|0.2627|-0.19379|0.0|6.7696|2|-0.142921555|-0.039273975|0.76012894|-0.0939597569999999|0.02665413|0.725120432|-26.65419063|0.474858042|10.24381236|1.0|22.0|-5.42|2.27e-07|6.33|-1809.899887|6.7696
3j_a32|1|354.42|405.19|3.564417045|0.3005|-0.19859|0.0|8.0969|3|-0.097980957|-0.020129489|0.7557114|-0.070289671|0.013773753|0.7487739999999999|-16.36574867|0.4482615029999999|5.900829539|1.0|19.0|-4.8|6.86e-05|3.02|-1671.507439|8.0969
14k_a23|1|340.42|552.65|0.0|0.4694|-0.2271699999999999|3.358995671|8.4123|2|-0.13187015|0.140087361|0.659570836|-0.0562483359999999|0.018829201|0.783562394|-22.62582822|0.486654314|8.21201115|0.0|26.0|-5.55|4.55e-06|4.1|-2089.524497|8.4123
12x_a36|0|319.74|569.01|3.494913155|0.0199|-0.2048199999999999|0.0|8.1549|1|-0.133106642|0.056034339|0.855081905|-0.0737521679999999|0.017625524|0.7768535409999999|-24.70107324|0.458792701|8.770758009|0.0|17.0|-4.51|3.83e-05|3.37|-1670.452834|8.1549
