molecula|NaaNH|n9FaHRing|Wavelength (max. Transition) (nm)|NaasN|Oscillator Force (HOMO-LUMO transition)|SRW09|Highest Occupied Molecular Orbital Energy|SRW07|n6HRing|n5aRing|GATS1pe|nFaHRing|PBF|RPSA|DPSA3|GeomPetitjeanIndex|GRAVp|WNSA4|DPSA2|CYP2C19 inhibitor|CYP3A4 inhibitor|Log Po/w Silicos-IT Log P|Num. of Rotatable bonds|Log Kp (cm/s)|Molecular Mass|log P|Total Energy (water) (Hartree)|pIC50
3g_a32|1|1|349.68|0|0.2859|7.78113851|-0.20065|5.733341277|0|3|0.786074011|1|0.273439311|0.112304055|45.55465473|0.447358137|2271.746759|-9.343731735|884.4366022|1.0|1.0|7.02|3.0|-4.9|354.49|4.13|-1712.060085|7.8539
4k_a46|0|0|228.63|1|0.1505|7.825245291|-0.20254|5.587248657999999|1|1|0.784722915|0|0.260665072|0.121088629|53.45751583|0.417368922|2104.876032|-8.94414722|910.3230822|1.0|1.0|4.26|2.0|-5.46|333.43|4.52|-1053.433249|7.0969
47k_a18|0|0|400.63|0|0.5920000000000001|7.03438793|-0.17135|4.844187086|0|0|0.737517943|0|0.3533268229999999|0.169064596|63.50225571|0.467246896|3245.964586|-18.87222501|2438.639881|1.0|1.0|2.39|11.0|-6.41|513.63|8.45|-1664.756029|7.5376
24_a47|0|1|312.5|1|0.2618|6.86171134|-0.2285|4.727387819|2|1|0.627160379|1|0.214985826|0.216050899|54.82626523|0.479188295|2642.775318|-10.29341441|1255.998102|0.0|1.0|2.78|5.0|-6.48|396.81|4.46|-1696.105723|8.5
8b_a12|0|0|293.37|0|127.0|0.0|-0.21184|0.0|2|0|0.856390139|0|0.4384536329999999|0.259073691|67.49212879999999|0.480938153|2388.888334|-15.27062922|1365.645333|0.0|1.0|3.11|4.0|-6.51|355.39|5.11|-1159.405202|6.58
12ag_a36|1|0|318.79|0|0.0191|7.412764017000001|-0.20713|5.351858133|2|1|0.698414933|0|0.26896187|0.253169906|64.72839664|0.481286668|2773.9654530000003|-15.48857353|1617.984688|1.0|0.0|3.13|5.0|-6.76|399.42|3.41|-1332.185403|7.7696
3h_a32|1|1|348.74|0|0.2926|7.765993078999999|-0.20059|5.733341277|0|3|0.8030743229999999|1|0.30907784|0.12119737|51.95714963|0.4089962629999999|2398.020434|-10.81473143|1071.936307|1.0|1.0|8.11|7.0|-4.29|382.55|4.61|-1790.6908030000002|8.1549
20_a4|0|0|239.45|1|0.1415|7.535296702|-0.19747|5.4161004020000005|1|1|0.665774148|0|0.210083785|0.081852712|40.20507689|0.421704107|1982.961908|-6.32818424|755.8433223999999|1.0|1.0|3.2|3.0|-5.96|289.33|2.73|-934.2489802|6.1898
12q_a30|0|0|245.16|0|0.1515|7.412764017000001|-0.19897|5.351858133|2|1|0.593245722|0|0.596557166|0.154254173|69.60189582|0.473741611|3305.289025|-21.2680622|2015.662819|1.0|0.0|4.43|7.0|-5.66|482.48|5.52|-1988.033527|7.4449
8d_a12|1|1|292.53|0|0.0853|6.580639137|-0.20794|4.59511985|2|1|0.8405406040000001|1|0.266886187|0.141289888|49.58366734|0.465113852|2466.513191|-12.09177064|1173.6881050000002|1.0|1.0|3.87|3.0|-5.96|352.39|3.53|-1138.296407|7.6021
12p_a36|1|0|232.12|0|0.1841|7.412764017000001|-0.21131|5.351858133|2|1|0.698414933|0|0.315548061|0.251561167|64.698131|0.475504684|2774.926334|-15.4629378|1617.811526|1.0|0.0|3.13|5.0|-6.76|399.42|3.41|-1332.182868|8.0458
12_a4|0|0|255.16|1|0.0464|7.535296702|-0.2312199999999999|5.4161004020000005|2|1|0.531333552|1|0.636722126|0.194761903|48.6306683|0.470780296|2927.48584|-9.127388465|1049.9494|1.0|1.0|3.69|4.0|-6.84|404.48|6.12|-1617.861623|5032.0
19f_a38|1|0|233.07|0|0.0019|7.412764017000001|-0.20104|5.351858133|2|1|0.698414933|0|0.488059925|0.249124013|67.96791709|0.453960261|2776.145209|-15.44458393|1645.906354|1.0|1.0|3.13|5.0|-6.77|401.44|3.41|-1332.190216|7.1397
17a_a6|1|0|350.03|0|0.0101|7.412764017000001|-0.18178|5.351858133|1|1|0.8013954109999999|0|0.350977745|0.2469173469999999|83.46070738|0.483320982|2816.084228|-17.887155899999996|1766.18975|1.0|1.0|4.98|5.0|-5.89|409.44|4.04|-1350.102634|7.6198
