molecula|Volume|Wavelength (HOMO-LUMO transition) (nm)|SddssS|Approximated area|Highest Occupied Molecular Orbital Energy|BCUTs-1l|MATS2c|Dipole (water)|SRW07|pIC50|SaaaC|AATSC1are|n5aRing|n5aHRing|MATS1i|FNSA5|PBF|FNSA4|GeomPetitjeanIndex|FPSA1|GeomRadius|WNSA2|Hydrogen bond don0rs count (using Lipinski’s definition)|Log S (SILICOS-IT)|TPSA_y|Solubility [Log S (SILICOS-IT)] (mg/ml)|log P|Absorption Energy (HOMO-LUMO transition) (eV)|pIC50
12b_a40|960.94|363.91|0.0|490.5|-0.22546|0.604989475|0.084915315|6.3131|5.4161004020000005|7.3979|0.747253086|0.00779293|2|2|0.023952313|-0.074921647|0.2160572999999999|-0.0338355829999999|0.494842289|0.143170283|8.132984007000001|-340.29531769999994|0.0|-8.39|58.43|1.7e-06|6.27|3407.0|7.3979
1o_a5|938.37|297.38|0.0|443.88|-0.23973|1.427566509|-0.266637757|5.4919|4.59511985|7.4559|0.0|0.0057302559999999|1|1|0.038275248|-0.072886362|0.447318682|-0.028770932|0.470590799|0.300086449|7.522366517000001|-315.657463|1.0|-8.11|78.25|2.54e-06|2.66|4.1692|7.4559
21a_a23|1189.63|335.16|0.0|558.61|-0.2226699999999999|1.197963603|0.1049806919999999|7.9309|5.4161004020000005|6.9914|0.773970837|0.01269616|2|2|-0.074441567|-0.082341001|0.224766417|-0.03458322|0.492301762|0.157878617|7.950891003|-753.6064963|1.0|-7.78|105.02|7.03e-06|3.75|3.6993|6.9914
7_a3|883.88|360.06|0.0|362.61|-0.21219|0.60501656|0.198126776|3.9813|4.727387819|5.9901|1.989724777|-0.007540435|1|1|0.020589494|-0.096448591|0.5999725029999999|-0.036877402|0.3987206729999999|0.2007853889999999|5.198046584|-307.0424158|1.0|-7.48|92.93|1.11e-05|3.09|3.4435|5.9901
38_a18|1515.64|384.55|0.0|734.93|-0.18066|1.251175383|0.059724697|2.7244|4.844187086|7041.0|0.0|0.000520558|0|0|-0.074661643|-0.082256123|0.423402315|-0.0322355079999999|0.4666657999999999|0.119072105|10.98254153|-1510.554181|3.0|-10.33|85.29|2.38e-08|8.95|3.2241|7041.0
12b_a32|1109.93|347.27|0.0|541.49|-0.19976|0.609420757|0.115940697|4.1080000000000005|5.733341277|7585.0|2.153718992|-0.003484915|3|3|-0.0852122769999999|-0.097525366|0.2996018789999999|-0.027561517|0.430631506|0.39579391|7.076348793999999|-494.9199607|2.0|-7.65|140.04|8.86e-06|4.12|3.5703|7585.0
12am_a36|1206.77|321.15|0.0|562.14|-0.21356|1.240140551|0.088482802|8.0872|5.351858133|7.2218|0.0|-0.011700732|1|1|-0.1187503719999999|-0.118101664|0.305015372|-0.045928425|0.484558903|0.211665165|8.772646622|-1183.702712|2.0|-7.14|78.43|3.37e-05|4.86|3.8606|7.2218
17e_a50|1312.91|307.67|0.0|602.89|-0.19805|1.320916122|-0.153175103|8.8326|5.82008293|6.8097|2.2384546640000003|0.012036705|2|2|-0.1949741189999999|-0.073011385|0.4239465089999999|-0.02665495|0.489797496|0.196328886|8.52101688|-812.8136797000001|0.0|-7.33|51.77|2.03e-05|3.8|4.0298|6.8097
15b_a10|1231.3|329.52|0.0|587.53|-0.20313|1.3438370730000002|-0.197213588|6.1384|5.4161004020000005|7.0706|2.0455289690000003|0.011484257|1|1|-0.174170642|-0.07358373|0.697099355|-0.024105015|0.414077981|0.329763626|6.6940006620000005|-656.9605906|0.0|-8.18|56.07|2.73e-06|2.74|3.7625|7.0706
13b_a6|1167.21|341.35|0.0|574.07|-0.20156|1.430640379|-0.0411179|13.5746|5.351858133|6.7595|0.0|-0.00460563|1|1|-0.10896749|-0.112915801|0.202093555|-0.0406496879999999|0.408780634|0.2427663219999999|9.087172635|-874.0294667999999|2.0|-9.01|95.85|4e-07|4.04|3.6322|6.7595
8_a10|1047.58|336.55|0.0|416.69|-0.21789|1.3430438530000002|-0.075368755|1.5482|5.4161004020000005|6279.0|1.546251312|0.0087730469999999|1|1|-0.082893697|-0.086233061|0.597912185|-0.029917593|0.431797417|0.277350551|6.112185271|-438.6216583|0.0|-7.6|69.9|9.59e-06|4.58|3684.0|6279.0
17_a47|1127.7|289.79|0.0|477.67|-0.22479|1.4168589319999998|-0.181485377|5.6949|4.59511985|8.3|1.699575434|0.0042378929999999|1|1|-0.0184347939999999|-0.082994667|0.522140199|-0.02987808|0.46147021|0.2542482339999999|7.055517075|-555.8544359|2.0|-10.1|79.38|3.12e-08|3.07|4.2784|8.3
