molecula|TASA|SRW09|nAHRing|PPSA1|nFaHRing|SRW07|AATSC1s|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|log P|Total Energy (water) (Hartree)|pIC50
4o_a46|521.3931342|7.825245291|1|136.5432529|0|5.587248657999999|0.042766097|0.00422|0.0045899999999999|3.76|-1070.456878|6.7905
8e_a12|538.051884|6.803505258|1|165.34017769999997|1|4.727387819|-0.049397555|0.0156|0.00744|3.45|-1177.619013|6.2306
9_a47|421.2052248|0.0|0|109.5180831|1|0.0|-0.1789147139999999|0.00148|0.00218|4.06|-1149.090086|7.6
12q_a30|576.3319634|7.412764017000001|2|122.2240555|0|5.351858133|-0.27228842|9.63e-05|0.000579|5.52|-1988.033527|7.4449
19h_a38|456.3568442|7.412764017000001|2|145.047677|0|5.351858133|-0.082283951|29.0|0.0272|3.41|-1332.187847|8.0348
5_a47|426.5981263000001|0.0|0|115.3294396|1|0.0|-0.188550227|0.000824|0.00116|4.37|-1569.369195|7.7
8g_a8|327.1604688|7.535296702|1|102.2893227|0|5.4161004020000005|-0.222784884|0.00209|0.00483|7.17|-1450.9549470000002|5.3768
14a_a5|534.8590069|6.605297921|1|250.3569601|0|4.59511985|-0.005002101|0.0304|0.0256|4.3|-1390.592722|6.9508
7f_a10|519.0013298|7.535296702|1|99.26552746|1|5.4161004020000005|-0.2347037789999999|0.00119|0.00103|4.93|-1442.216293|6.8508
18d_a30|508.389239|7.412764017000001|2|137.15746130000002|0|5.351858133|-0.064217094|0.00171|0.00405|4.07|-1675.020297|7.6737
32_a47|613.6886524|6.842683282|1|258.5816152|1|4.727387819|0.000921003|0.00674|0.0038799999999999|2.97|-1778.127634|7.0
19c_a38|477.9848537|7.412764017000001|2|177.10114030000005|0|5.351858133|-0.04575843|19.0|0.0322|3.23|-1424.42734|8.0348
12b_a50|465.4891075000001|7.927685046000001|1|214.5713436|1|5.82008293|-0.0016330379999999|215.0|45.0|2.47|-1006.664619|5.3242
28_a34|279.4884473|7.423568444|1|138.2913845|0|5.351858133|-0.206909349|172.0|182.0|4.11|-1100.797628|5.4179
12at_a36|520.6361161|7.412764017000001|2|225.4381077|0|5.351858133|-0.073048351|0.0289|0.0367|4.5|-1460.833958|7.1079
4f_a49|400.1675422|7.535296702|1|152.9378926|1|5.4161004020000005|-0.087045007|0.0365|0.0289|4.07|-1179.23587|7.3979
1h_a5|459.3001331|6.605297921|0|132.96722079999998|0|4.59511985|-0.009075016|0.0174|0.0111|3.17|-990.6346565|7.5528
47u_a18|516.6437614|7.03438793|1|193.9244919|0|4.844187086|-0.0872206669999999|0.000932|0.00472|9.34|-1510.182477|5.7055
13a_a30|470.0167988|7.412764017000001|2|135.07860209999998|0|5.351858133|-0.118776867|0.00427|0.0221|4.54|-1744.491614|7.8665
8e_a8|403.5112981|7.05012252|0|119.9832494|0|4.844187086|-0.205927741|0.00215|0.00504|7.22|-1376.957298|4.7014
15_a10|545.6177511|7.535296702|1|210.7240726|1|5.4161004020000005|0.035396617|13.0|0.0061|3.12|-1604.08794|7.4815
18a_a30|534.88346|7.412764017000001|2|130.4247923|0|5.351858133|-0.02919335|0.00208|0.0056|3.82|-1575.786909|7.6108
12w_a36|594.7596206000001|7.412764017000001|2|211.5476713|0|5.351858133|-0.297354748|0.00291|4.0|4.86|-1645.202839|7.6383
14o_a23|642.7588542000001|7.423568444|0|141.97663490000002|1|5.351858133|-0.301504331|6.38e-05|0.0004969999999999|5.17|-2042.184285|8.4815
19a_a22|555.4133255|6.842683282|0|235.2620007|1|4.727387819|-0.144269652|0.0193|0.0356|5.69|-1537.071348|7.3188
47s_a18|640.0051571|7.03438793|1|135.90542109999998|0|4.844187086|-0.045792331|0.000539|0.0017|8.41|-1534.196027|6.2104
12_a47|408.3591283|6.605297921|0|166.28511369999998|1|4.59511985|-0.078935336|0.0106|0.00943|3.01|-1488.101254|8.2
4e_a46|571.9794684|7.825245291|1|155.48860530000002|0|5.587248657999999|-0.370202917|0.000405|0.00191|8.03|-1884.613031|6.8125
12ao_a36|550.8740683|7.412764017000001|2|144.1736112|0|5.351858133|-0.065314765|0.0106|0.0115|3.83|-1310.361099|7.5229
17a_a50|601.1353533|7.934155233999999|1|136.82673369999998|1|5.82008293|0.009691515|0.0408|0.0144|3.08|-1258.566007|7.0706
12k_a36|555.1026569|7.412764017000001|2|144.457092|0|5.351858133|-0.063399056|0.0106|0.0115|3.83|-1310.3453949999998|7.8539
13l_a6|447.9705372|7.412764017000001|1|143.7247666|0|5.351858133|-0.132667824|0.00144|0.0075599999999999|5.41|-1465.865882|6.4145
17_a20|598.1153253|6.842683282|0|161.12498630000002|1|4.727387819|0.00038506|0.0017699999999999|0.00336|4.11|-1291.949041|5.6478
13p_a6|515.4389679999999|6.842683282|0|170.2302215|1|4.727387819|-0.1144898999999999|0.00365|0.0125|4.73|-1463.08132|7.0362
12_a15|572.3516967|0.0|0|161.8714956|0|0.0|-0.0455566929999999|0.0002379999999999|0.000584|5.16|-1281.087109|8.3979
9_a10|616.4802143999999|7.535296702|1|190.5275895|1|5.4161004020000005|-0.032199235|0.0259|16.0|4.51|-1410.041793|6.7144
