molecula|SRW09|nAHRing|Highest Occupied Molecular Orbital Energy|MATS2c|Gibbs Free Energy|SRW07|AATSC1s|n6aHRing|nFaHRing|WPSA3|GeomPetitjeanIndex|TASA|PPSA1|DPSA1|Log Po/w iLOGP|Log Po/w Silicos-IT Log P|Class [Log S (SILICOS-IT)]|Egan filter|Solubility [Log S (Ali)] (mg/ml)|Solubility [Log S (ESOL)] (mg/ml)|Absorption Energy (max. Transition) (eV)|log P|Total Energy (water) (Hartree)|Total Energy (gas phase) (Hartree)|pIC50
5_a4|7.535296702|1|-0.21857|-0.196773454|-1069.102899|5.4161004020000005|0.02257929|2|1|2.323516519|0.413773331|506.7916175|103.5177395|-330.3047347|3.08|4.89|1.0|0.0|0.00925|0.0049299999999999|4.8582|3.71|-1069.27374|-1069.251223|7.1487
12bc_a36|7.412764017000001|2|-0.21499|-0.058020733|-2151.971485|5.351858133|-0.042515909|1|0|8.238431664|0.467645467|560.6615736|153.57572439999998|-364.8584744|0.0|3.99|1.0|0.0|0.00372|0.00295|5.2189|4.42|-2152.134749|-2152.100551|8.0969
11a_a5|6.605297921|0|-0.20429|-0.165418719|-1339.555805|4.59511985|0.052217882|2|0|6.055083705|0.466436596|638.3599998999999|185.1520983|-344.1971057|3.68|6.38|1.0|1.0|2.39e-05|0.000167|4.4033|4.83|-1339.8362619999998|-1339.802852|7.0915
13m_a6|6.842683282|0|-0.20954|0.031719435|-1423.511471|4.727387819|-0.135152403|2|1|9.035018118|0.48094941|498.9881336|183.8755989|-329.5370141|2.18|4.19|1.0|0.0|0.00987|0.0228|3.9127|4.27|-1423.762467|-1423.712909|8.0
12av_a36|7.412764017000001|2|-0.19429|0.049150854|-1440.738332|5.351858133|-0.081537769|1|0|10.51297704|0.491188387|524.1323793|228.5327731|-239.5042702|0.0|2.38|1.0|0.0|128.0|0.0997|4.8408|4.5|-1440.988179|-1440.945099|7.4089
18d_a30|7.412764017000001|2|-0.19673|0.041146136|-1674.8453470000002|5.351858133|-0.064217094|1|0|7.147133584|0.443774287|508.389239|137.15746130000002|-358.5765637|0.0|4.25|1.0|0.0|0.00171|0.00405|5.0125|4.07|-1675.020297|-1674.987709|7.6737
6_a15|0.0|0|-0.18133|-0.199979249|-1262.820532|0.0|-0.048804012|1|0|10.03794313|0.3902945579999999|501.3728188|243.9013805|-95.65807914|4.03|4.43|1.0|0.0|0.000823|0.00278|4.3423|3.94|-1263.0243449999998|-1263.0072300000002|7.4559
11b_a31|7.765993078999999|1|-0.1951|0.078614731|-1519.967224|5.733341277|-0.172248605|0|0|11.70737909|0.473305522|303.7286124|183.9081702|-189.0151528|2.29|4.67|2.0|0.0|0.00649|0.0637|3.8437|4.07|-1520.085181|-1520.0430279999998|6.2757
16_a3|6.823286122000001|0|-0.2029|0.183636734|-1371.297964|4.727387819|-0.186717242|2|1|2.977102266|0.484889078|344.4962834|84.12292796|-325.670405|2.59|4.74|1.0|0.0|0.0033799999999999|0.0104|3.2208|3.19|-1371.388717|-1371.360243|7.3768
12x_a30|7.412764017000001|2|-0.19876|0.044575215|-1654.183467|5.351858133|-0.0335688279999999|1|0|6.435648079|0.4490846539999999|560.5459455|115.7782842|-428.8071293|0.0|4.87|1.0|0.0|0.00039|0.00148|3.4831|4.45|-1654.40976|-1654.3784|7.6556
